clean_text,label
go until jurong point crazy available only in bugis n great world la e buffet cine there got amore wat,0
ok lar joking wif u oni,0
free entry in NUMBER a wkly comp to win fa cup final tkts NUMBER st may NUMBER text fa to NUMBER to receive entry question std txt rate t c s apply NUMBER over NUMBER s,1
u dun say so early hor u c already then say,0
nah i don t think he goes to usf he lives around here though,0
freemsg hey there darling it s been NUMBER week s now and no word back i d like some fun you up for it still tb ok xxx std chgs to send NUMBER NUMBER to rcv,1
even my brother is not like to speak with me they treat me like aids patent,0
as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press NUMBER to copy your friends callertune,0
winner as a valued network customer you have been selected to receivea NUMBER prize reward to claim call NUMBER claim code kl NUMBER valid NUMBER hours only,1
had your mobile NUMBER months or more u r entitled to update to the latest colour mobiles with camera for free call the mobile update co free on NUMBER,1
i m gonna be home soon and i don t want to talk about this stuff anymore tonight k i ve cried enough today,0
six chances to win cash from NUMBER to NUMBER NUMBER pounds txt csh NUMBER and send to NUMBER cost NUMBER p day NUMBER days NUMBER tsandcs apply reply hl NUMBER info,1
urgent you have won a NUMBER week free membership in our NUMBER NUMBER prize jackpot txt the word claim to no NUMBER t c URL lccltd pobox NUMBER ldnw NUMBER a NUMBER rw NUMBER,1
i ve been searching for the right words to thank you for this breather i promise i wont take your help for granted and will fulfil my promise you have been wonderful and a blessing at all times,0
i have a date on sunday with will,0
xxxmobilemovieclub to use your credit click the wap link in the next txt message or click here URL xxxmobilemovieclub com n qjkgighjjgcbl,1
oh k i m watching here,0
eh u remember how NUMBER spell his name yes i did he v naughty make until i v wet,0
fine if that s the way u feel that s the way its gota b,0
england v macedonia dont miss the goals team news txt ur national team to NUMBER eg england to NUMBER try wales scotland NUMBER txt NUMBER NUMBER poboxox NUMBER w NUMBER wq NUMBER,1
is that seriously how you spell his name,0
i m going to try for NUMBER months ha ha only joking,0
so pay first lar then when is da stock comin,0
aft i finish my lunch then i go str down lor ard NUMBER smth lor u finish ur lunch already,0
ffffffffff alright no way i can meet up with you sooner,0
just forced myself to eat a slice i m really not hungry tho this sucks mark is getting worried he knows i m sick when i turn down pizza lol,0
lol your always so convincing,0
did you catch the bus are you frying an egg did you make a tea are you eating your mom s left over dinner do you feel my love,0
i m back amp we re packing the car now i ll let you know if there s room,0
ahhh work i vaguely remember that what does it feel like lol,0
wait that s still not all that clear were you not sure about me being sarcastic or that that s why x doesn t want to live with us,0
yeah he got in at NUMBER and was v apologetic n had fallen out and she was actin like spoilt child and he got caught up in that till NUMBER but we won t go there not doing too badly cheers you,0
k tell me anything about you,0
for fear of fainting with the of all that housework you just did quick have a cuppa,0
thanks for your subscription to ringtone uk your mobile will be charged NUMBER month please confirm by replying yes or no if you reply no you will not be charged,1
yup ok i go home look at the timings then i msg again xuhui going to learn on NUMBER nd may too but her lesson is at NUMBER am,0
oops i ll let you know when my roommate s done,0
i see the letter b on my car,0
anything lor u decide,0
hello how s you and how did saturday go i was just texting to see if you d decided to do anything tomo not that i m trying to invite myself or anything,0
pls go ahead with watts i just wanted to be sure do have a great weekend abiola,0
did i forget to tell you i want you i need you i crave you but most of all i love you my sweet arabian steed mmmmmm yummy,0
NUMBER rodger burns msg we tried to call you re your reply to our sms for a free nokia mobile free camcorder please call now NUMBER for delivery tomorrow,1
who are you seeing,0
great i hope you like your man well endowed i am lt gt inches,0
no calls messages missed calls,0
didn t you get hep b immunisation in nigeria,0
fair enough anything going on,0
yeah hopefully if tyler can t do it i could maybe ask around a bit,0
u don t know how stubborn i am i didn t even want to go to the hospital i kept telling mark i m not a weak sucker hospitals are for weak suckers,0
what you thinked about me first time you saw me in class,0
a gram usually runs like lt gt a half eighth is smarter though and gets you almost a whole second gram for lt gt,0
k fyi x has a ride early tomorrow morning but he s crashing at our place tonight,0
wow i never realized that you were so embarassed by your accomodations i thought you liked it since i was doing the best i could and you always seemed so happy about the cave i m sorry i didn t and don t have more to give i m sorry i offered i m sorry your room was so embarassing,0
sms ac sptv the new jersey devils and the detroit red wings play ice hockey correct or incorrect end reply end sptv,1
do you know what mallika sherawat did yesterday find out now lt url gt,0
congrats NUMBER year special cinema pass for NUMBER is yours call NUMBER now c suprman v matrix NUMBER starwars NUMBER etc all NUMBER free bx NUMBER ip NUMBER NUMBER we NUMBER pm dont miss out,1
sorry i ll call later in meeting,0
tell where you reached,0
yes gauti and sehwag out of odi series,0
your gonna have to pick up a NUMBER burger for yourself on your way home i can t even move pain is killing me,0
ha ha ha good joke girls are situation seekers,0
its a part of checking iq,0
sorry my roommates took forever it ok if i come by now,0
ok lar i double check wif da hair dresser already he said wun cut v short he said will cut until i look nice,0
as a valued customer i am pleased to advise you that following recent review of your mob no you are awarded with a NUMBER bonus prize call NUMBER,1
today is song dedicated day which song will u dedicate for me send this to all ur valuable frnds but first rply me,0
urgent ur awarded a complimentary trip to eurodisinc trav aco entry NUMBER or NUMBER to claim txt dis to NUMBER NUMBER NUMBER NUMBER NUMBER morefrmmob shracomorsglsuplt NUMBER ls NUMBER NUMBER aj,1
did you hear about the new divorce barbie it comes with all of ken s stuff,1
i plane to give on this month end,0
wah lucky man then can save money hee,0
finished class where are you,0
hi babe im at home now wanna do something xx,0
k k where are you how did you performed,0
u can call me now,0
i am waiting machan call me once you free,0
thats cool i am a gentleman and will treat you with dignity and respect,0
i like you peoples very much but am very shy pa,0
does not operate after lt gt or what,0
its not the same here still looking for a job how much do ta s earn there,0
sorry i ll call later,0
k did you call me just now ah,0
ok i am on the way to home hi hi,0
you will be in the place of that man,0
yup next stop,0
i call you later don t have network if urgnt sms me,0
for real when u getting on yo i only need NUMBER more tickets and one more jacket and i m done i already used all my multis,0
yes i started to send requests to make it but pain came back so i m back in bed double coins at the factory too i gotta cash in all my nitros,0
i m really not up to it still tonight babe,0
ela kano il download come wen ur free,0
yeah do don t stand to close tho you ll catch something,0
sorry to be a pain is it ok if we meet another night i spent late afternoon in casualty and that means i haven t done any of y stuff NUMBER moro and that includes all my time sheets and that sorry,0
smile in pleasure smile in pain smile when trouble pours like rain smile when sum NUMBER hurts u smile becoz someone still loves to see u smiling,0
please call our customer service representative on NUMBER NUMBER NUMBER between NUMBER am NUMBER pm as you have won a guaranteed NUMBER cash or NUMBER prize,1
havent planning to buy later i check already lido only got NUMBER show in e afternoon u finish work already,0
your free ringtone is waiting to be collected simply text the password mix to NUMBER to verify get usher and britney fml po box NUMBER mk NUMBER NUMBER h NUMBER ppw NUMBER,1
watching telugu movie wat abt u,0
i see when we finish we have loads of loans to pay,0
hi wk been ok on hols now yes on for a bit of a run forgot that i have hairdressers appointment at four so need to get home n shower beforehand does that cause prob for u,0
i see a cup of coffee animation,0
please don t text me anymore i have nothing else to say,0
okay name ur price as long as its legal wen can i pick them up y u ave x ams xx,0
i m still looking for a car to buy and have not gone NUMBER the driving test yet,0
as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press NUMBER to copy your friends callertune,0
wow you re right i didn t mean to do that i guess once i gave up on boston men and changed my search location to nyc something changed cuz on my signin page it still says boston,0
umma my life and vava umma love you lot dear,0
thanks a lot for your wishes on my birthday thanks you for making my birthday truly memorable,0
aight i ll hit you up when i get some cash,0
how would my ip address test that considering my computer isn t a minecraft server,0
i know grumpy old people my mom was like you better not be lying then again i am always the one to play jokes,0
dont worry i guess he s busy,0
what is the plural of the noun research,0
going for dinner msg you after,0
i m ok wif it cos i like NUMBER try new things but i scared u dun like mah cos u said not too loud,0
gent we are trying to contact you last weekends draw shows that you won a NUMBER prize guaranteed call NUMBER claim code k NUMBER valid NUMBER hrs only NUMBER ppm,1
wa ur openin sentence very formal anyway i m fine too juz tt i m eatin too much n puttin on weight haha so anythin special happened,0
as i entered my cabin my pa said happy b day boss i felt special she askd me NUMBER lunch after lunch she invited me to her apartment we went there,0
you are a winner u have been specially selected NUMBER receive NUMBER or a NUMBER holiday flights inc speak to a live operator NUMBER claim NUMBER p min NUMBER,1
goodo yes we must speak friday egg potato ratio for tortilla needed,0
hmm my uncle just informed me that he s paying the school directly so pls buy food,0
private your NUMBER account statement for NUMBER shows NUMBER unredeemed bonus points to claim call NUMBER identifier code NUMBER expires,1
urgent your mobile no was awarded NUMBER bonus caller prize on NUMBER NUMBER NUMBER this is our final try to contact u call from landline NUMBER box NUMBER wr NUMBER c NUMBER ppm,1
here is my new address apples pairs all that malarky,0
todays voda numbers ending NUMBER are selected to receive a NUMBER award if you have a match please call NUMBER quoting claim code NUMBER standard rates app,1
i am going to sao mu today will be done only at NUMBER,0
predict wat time ll finish buying,0
good stuff will do,0
just so that you know yetunde hasn t sent money yet i just sent her a text not to bother sending so its over you dont have to involve yourself in anything i shouldn t have imposed anything on you in the first place so for that i apologise,0
are you there in room,0
hey girl how r u hope u r well me an del r bak again long time no c give me a call sum time from lucyxx,0
k k how much does it cost,0
i m home,0
dear will call tmorrow pls accomodate,0
first answer my question,0
sunshine quiz wkly q win a top sony dvd player if u know which country the algarve is in txt ansr to NUMBER NUMBER NUMBER sp tyrone,1
want NUMBER get laid tonight want real dogging locations sent direct NUMBER ur mob join the uk s largest dogging network bt txting gravel to NUMBER nt ec NUMBER a NUMBER p msg NUMBER p,1
i only haf msn it s yijue hotmail com,0
he is there you call and meet him,0
no no i will check all rooms befor activities,0
you ll not rcv any more msgs from the chat svc for free hardcore services text go to NUMBER if u get nothing u must age verify with yr network try again,1
got c i lazy to type i forgot in lect i saw a pouch but like not v nice,0
k text me when you re on the way,0
sir waiting for your mail,0
a swt thought nver get tired of doing little things NUMBER lovable persons coz somtimes those little things occupy d biggest part in their hearts gud ni NUMBER,0
i know you are can you pls open the back,0
yes see ya not on the dot,0
whats the staff name who is taking class for us,0
freemsg why haven t you replied to my text i m randy sexy female and live local luv to hear from u netcollex ltd NUMBER p per msg reply stop to end,1
ummma will call after check in our life will begin from qatar so pls pray very hard,0
k i deleted my contact that why,0
sindu got job in birla soft,0
the wine is flowing and i m i have nevering,0
yup i thk cine is better cos no need NUMBER go down NUMBER plaza mah,0
ok ur typical reply,0
as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press NUMBER to copy your friends callertune,0
you are everywhere dirt on the floor the windows even on my shirt and sometimes when i open my mouth you are all that comes flowing out i dream of my world without you then half my chores are out too a time of joy for me lots of tv shows i ll see but i guess like all things you just must exist like rain hail and mist and when my time here is done you and i become one,0
aaooooright are you at work,0
i m leaving my house now,0
hello my love what are you doing did you get to that interview today are you you happy are you being a good boy do you think of me are you missing me,0
customer service annoncement you have a new years delivery waiting for you please call NUMBER now to arrange delivery,1
you are a winner u have been specially selected NUMBER receive NUMBER cash or a NUMBER holiday flights inc speak to a live operator NUMBER claim NUMBER,1
keep yourself safe for me because i need you and i miss you already and i envy everyone that see s you in real life,0
new car and house for my parents i have only new job in hand,0
i m so in love with you i m excited each day i spend with you you make me so happy,0
pls stop bootydelious NUMBER f is inviting you to be her friend reply yes NUMBER or no NUMBER see her URL stop send stop frnd to NUMBER,1
bangbabes ur order is on the way u should receive a service msg NUMBER download ur content if u do not goto wap bangb tv on ur mobile internet service menu,1
i place all ur points on e cultures module already,0
urgent we are trying to contact you last weekends draw shows that you have won a NUMBER prize guaranteed call NUMBER claim code s NUMBER valid NUMBER hrs only,1
hi frnd which is best way to avoid missunderstding wit our beloved one s,0
great escape i fancy the bridge but needs her lager see you tomo,0
yes it completely in out of form clark also utter waste,0
sir i need axis bank account no and bank address,0
hmmm thk sure got time to hop ard ya can go NUMBER free abt muz call u to discuss liao,0
what time you coming down later,0
bloody hell cant believe you forgot my surname mr ill give u a clue its spanish and begins with m,0
well i m gonna finish my bath now have a good fine night,0
let me know when you ve got the money so carlos can make the call,0
u still going to the mall,0
turns out my friends are staying for the whole show and won t be back til lt gt so feel free to go ahead and smoke that lt gt worth,0
text her if she doesnt reply let me know so i can have her log in,0
hi you just spoke to maneesha v we d like to know if you were satisfied with the experience reply toll free with yes or no,0
you lifted my hopes with the offer of money i am in need especially when the end of the month approaches and it hurts my studying anyways have a gr NUMBER weekend,0
lol no u can trust me,0
ok i am a gentleman and will treat you with dignity and respect,0
he will you guys close,0
going on nothing great bye,0
hello handsome are you finding that job not being lazy working towards getting back that net for mummy where s my boytoy now does he miss me,0
haha awesome be there in a minute,0
please call our customer service representative on freephone NUMBER NUMBER NUMBER between NUMBER am NUMBER pm as you have won a guaranteed NUMBER cash or NUMBER prize,1
have you got xmas radio times if not i will get it now,0
i jus reached home i go bathe first but my sis using net tell u when she finishes k,0
are you unique enough find out from NUMBER th august URL,1
i m sorry i ve joined the league of people that dont keep in touch you mean a great deal to me you have been a friend at all times even at great personal cost do have a great week,0
hi finally i completed the course,0
it will stop on itself i however suggest she stays with someone that will be able to give ors for every stool,0
how are you doing hope you ve settled in for the new school year just wishin you a gr NUMBER day,0
gud mrng dear hav a nice day,0
did u got that persons story,0
is your hamster dead hey so tmr i meet you at NUMBER pm orchard mrt,0
hi its kate how is your evening i hope i can see you tomorrow for a bit but i have to bloody babyjontet txt back if u can xxx,0
found it enc lt gt where you at,0
i sent you lt gt bucks,0
hello darlin ive finished college now so txt me when u finish if u can love kate xxx,0
your account has been refilled successfully by inr lt decimal gt your keralacircle prepaid account balance is rs lt decimal gt your transaction id is kr lt gt,0
goodmorning sleeping ga,0
u call me alter at NUMBER ok,0
say until like dat i dun buy ericsson oso cannot oredi lar,0
as i entered my cabin my pa said happy b day boss i felt special she askd me NUMBER lunch after lunch she invited me to her apartment we went there,0
aight yo dats straight dogg,0
you please give us connection today itself before lt decimal gt or refund the bill,0
